epoch,train_loss,val_loss,val_miou,lr,seconds
1,1.04244,0.78023,0.76649,1.00e-04,56.7
2,0.75331,0.74940,0.78765,1.00e-04,59.4
3,0.69552,0.75100,0.78065,1.00e-04,60.1
4,0.67518,0.77126,0.79099,1.00e-04,59.8
5,0.66011,0.73161,0.80197,1.00e-04,60.1
6,0.64400,0.70531,0.81189,1.00e-04,59.5
7,0.63600,0.72238,0.80953,1.00e-04,59.7
8,0.62929,0.75483,0.78788,1.00e-04,60.6
9,0.62833,0.71264,0.80922,1.00e-04,59.6
10,0.60963,0.67903,0.82830,1.00e-04,60.1
11,0.60527,0.70731,0.80183,1.00e-04,60.2
12,0.60061,0.72977,0.80532,1.00e-04,59.7
13,0.59760,0.70486,0.81420,1.00e-04,60.6
14,0.59281,0.69373,0.81989,1.00e-04,59.5
15,0.58676,0.70762,0.81829,5.00e-05,59.8
16,0.56898,0.68766,0.82760,5.00e-05,60.5
17,0.56209,0.67842,0.83216,5.00e-05,59.6
18,0.55711,0.69902,0.82265,5.00e-05,59.9
19,0.55358,0.69966,0.82954,5.00e-05,60.6
20,0.54917,0.71347,0.82147,5.00e-05,59.2
21,0.54885,0.69400,0.83048,5.00e-05,59.9
22,0.55078,0.72008,0.81852,2.50e-05,60.0
23,0.54117,0.69139,0.83045,2.50e-05,59.7
24,0.53857,0.68479,0.83158,2.50e-05,60.4
25,0.53047,0.70002,0.83015,2.50e-05,59.4
